Student Id,Surname,minutes per week spent on elearning,Topic with highest time spend,Gender,Age,average grade over an acadmic year,NumOf_family mebers,play a sport activity,colledge acceptance
15634602,oliver,452,Biology,Male,18,15,1,1,0
15647311,ramy,404,Biology,Female,18,13,1,1,0
15619304,sam,523,Biology,Female,16,11,3,0,1
15701354,tarek,648,Biology,Female,16,13,2,0,0
15737888,alex,616,Math,Female,15,13,1,1,0
15574012,Chu,614,Math,Male,18,8,2,0,1
15592531,Bartlett,432,Biology,Male,17,14,2,1,0
15656148,Obinna,599,Physics,Female,16,17,4,0,1
15792365,He,394,Biology,Male,18,15,2,1,0
15592389,selvio,532,Biology,Male,15,16,1,1,0
15767821,Bearce,693,Biology,Male,18,17,2,0,0
15737173,Andrews,393,Math,Male,17,15,2,0,0
15632264,Kay,410,Biology,Female,18,9,2,0,0
15691483,Chin,486,Biology,Female,16,17,2,0,0
15600882,Scott,430,Math,Female,17,10,2,1,0
15643966,Goforth,443,Physics,Male,16,11,2,1,0
15737452,Romeo,480,Physics,Male,15,10,1,0,1
15788218,Henderson,649,Math,Female,16,17,2,1,0
15661507,Muldrow,428,Math,Male,17,18,1,0,0
15568982,Hao,572,Biology,Female,17,11,2,1,0
15577657,McDonald,696,Biology,Male,18,11,2,1,0
15597945,Dellucci,360,Math,Female,18,8,2,0,0
15699309,Gerasimov,373,Math,Female,15,11,1,0,1
15725737,Mosman,375,Biology,Male,16,12,2,1,0
15625047,Yen,663,Biology,Female,17,9,1,1,0
15738191,Maclean,445,Biology,Male,18,8,2,1,0
15736816,Young,676,Physics,Male,17,9,1,1,0
15700772,Nebechi,564,Biology,Male,16,17,2,0,0
15728693,McWilliams,549,Physics,Female,16,11,1,1,0
15656300,Lucciano,581,Biology,Male,18,13,2,1,0
15589475,Azikiwe,617,Math,Female,16,9,3,0,1
15706552,Odinakachukwu,697,Biology,Male,18,18,1,1,0
15750181,Sanderson,366,Physics,Male,15,9,2,0,0
15659428,Maggard,452,Math,Female,16,18,2,1,0
15732963,Clements,540,Math,Female,16,14,2,1,0
15794171,Lombardo,437,Biology,Female,17,8,1,0,1
15788448,Watson,674,Math,Male,16,11,1,1,0
15729599,Lorenzo,672,Math,Male,15,8,1,1,0
15717426,Armstrong,358,Biology,Male,16,11,1,1,0
15585768,Cameron,501,Physics,Male,18,9,2,1,0
15619360,Hsiao,467,Math,Male,15,14,1,0,0
15738148,Clarke,553,Biology,Female,17,9,1,0,1
15687946,Osborne,538,Biology,Female,16,14,1,1,0
15755196,Lavine,467,Biology,Female,16,17,1,0,1
15684171,Bianchi,631,Math,Female,15,16,1,1,0
15754849,Tyler,675,Physics,Female,17,17,2,1,0
15602280,Martin,491,Physics,Female,18,8,1,1,1
15771573,Okagbue,625,Physics,Female,15,12,1,1,1
15766205,Yin,420,Physics,Male,17,12,1,1,0
15771873,Buccho,649,Physics,Female,17,13,2,0,0
15616550,Chidiebele,606,Physics,Male,16,9,2,0,0
15768193,Trevisani,415,Physics,Male,17,8,2,0,0
15683553,O'Brien,595,Biology,Female,16,17,2,0,0
15702298,Parkhill,353,Physics,Male,17,17,1,0,1
15569590,Yoo,573,Physics,Male,15,12,1,0,1
15760861,Phillipps,441,Biology,Male,18,16,1,1,0
15630053,Tsao,624,Biology,Male,18,8,1,0,0
